"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"09 sept 2022","869,50","829,00","872,50","826,00","","4,89%"
"08 sept 2022","829,00","837,00","857,25","818,00","","-1,81%"
"07 sept 2022","844,25","816,75","873,50","809,25","","3,34%"
"06 sept 2022","817,00","814,75","825,00","801,25","","0,58%"
"05 sept 2022","812,25","812,25","812,25","812,25","","0,53%"
"04 sept 2022","808,00","808,00","808,00","808,00","","-0,37%"
"02 sept 2022","811,00","797,75","819,50","796,25","35,50K","1,66%"
"01 sept 2022","797,75","827,00","834,90","791,25","","-4,06%"
"31 ago 2022","831,50","820,00","839,25","806,25","","1,37%"
"30 ago 2022","820,25","840,25","846,25","816,50","","-2,67%"
"29 ago 2022","842,75","806,00","849,00","794,25","","7,39%"
"26 ago 2022","784,75","764,50","792,25","764,00","28,06K","1,95%"
"25 ago 2022","769,75","794,75","803,50","766,50","18,25K","-3,18%"
"24 ago 2022","795,00","782,25","799,75","775,00","23,60K","1,56%"
"23 ago 2022","782,75","770,00","802,50","767,25","26,88K","1,59%"
"22 ago 2022","770,50","754,00","774,00","744,50","22,52K","2,29%"
"19 ago 2022","753,25","733,00","756,75","727,25","18,90K","2,97%"
"18 ago 2022","731,50","764,75","766,50","725,75","38,27K","-4,16%"
"17 ago 2022","763,25","785,25","797,00","759,50","29,95K","-2,89%"
"16 ago 2022","786,00","799,00","810,50","782,50","25,48K","-1,84%"
"15 ago 2022","800,75","802,00","804,50","778,00","29,78K","-0,65%"
"12 ago 2022","806,00","811,25","811,25","782,25","40,65K","-0,59%"
"11 ago 2022","810,75","800,00","820,75","794,50","63,67K","1,38%"
"10 ago 2022","799,75","781,50","808,50","780,25","68,23K","2,34%"
"09 ago 2022","781,50","785,75","801,25","772,75","59,02K","0,22%"
"08 ago 2022","779,75","776,50","793,75","760,75","64,41K","0,52%"
"05 ago 2022","775,75","782,00","796,75","769,75","51,60K","-0,86%"
"04 ago 2022","782,50","768,00","789,50","758,25","46,77K","2,45%"
"03 ago 2022","763,75","774,00","790,25","752,00","51,39K","-1,42%"
"02 ago 2022","774,75","795,00","795,75","772,75","47,23K","-3,19%"
"01 ago 2022","800,25","812,75","820,25","781,25","41,08K","-0,93%"
"29 jul 2022","807,75","817,00","845,75","801,00","47,27K","-1,13%"
"28 jul 2022","817,00","786,25","824,25","786,25","37,42K","3,39%"
"27 jul 2022","790,25","802,50","818,75","782,00","41,49K","-1,68%"
"26 jul 2022","803,75","773,00","806,00","772,25","43,80K","4,38%"
"25 jul 2022","770,00","787,00","793,50","760,50","47,49K","1,45%"
"22 jul 2022","759,00","803,25","807,25","754,00","66,19K","-5,86%"
"21 jul 2022","806,25","819,50","834,00","795,50","43,05K","-1,62%"
"20 jul 2022","819,50","810,25","843,50","801,00","38,89K","0,89%"
"19 jul 2022","812,25","808,50","822,25","792,50","45,98K","-0,06%"
"18 jul 2022","812,75","787,25","825,00","778,50","42,33K","4,63%"
"15 jul 2022","776,75","798,00","804,75","765,75","44,62K","-2,20%"
"14 jul 2022","794,25","812,75","829,50","792,00","0,04K","-0,50%"
"13 jul 2022","798,25","810,00","819,25","810,00","0,03K","-0,41%"
"12 jul 2022","801,50","835,00","839,25","807,25","0,07K","-5,01%"
"11 jul 2022","843,75","888,00","888,00","849,25","0,10K","-5,36%"
"08 jul 2022","891,50","838,25","894,75","838,25","","6,58%"
"07 jul 2022","836,50","807,75","846,00","807,75","","3,98%"
"06 jul 2022","804,50","807,00","838,50","785,25","","-0,31%"
"05 jul 2022","807,00","842,25","842,50","804,50","","-4,61%"
"01 jul 2022","846,00","890,00","896,25","840,50","54,11K","-4,30%"
"30 jun 2022","884,00","930,00","939,50","881,00","","-4,95%"
"29 jun 2022","930,00","936,00","956,00","929,00","","-0,64%"
"28 jun 2022","936,00","923,50","949,75","921,00","","2,02%"
"27 jun 2022","917,50","933,25","952,25","913,50","","-0,68%"
"24 jun 2022","923,75","936,25","962,50","921,75","","-1,44%"
"23 jun 2022","937,25","973,25","974,50","934,50","","-4,02%"
"22 jun 2022","976,50","977,25","1.007,25","960,00","","0,13%"
"21 jun 2022","975,25","1.032,00","1.033,25","973,50","","-5,70%"
"17 jun 2022","1.034,25","1.078,25","1.083,75","1.030,25","42,37K","-4,08%"
"16 jun 2022","1.078,25","1.050,25","1.084,75","1.047,00","","2,69%"
"15 jun 2022","1.050,00","1.055,00","1.058,75","1.036,50","","-0,02%"
"14 jun 2022","1.050,25","1.071,00","1.072,75","1.046,50","","-1,94%"
"13 jun 2022","1.071,00","1.073,00","1.093,50","1.053,50","","0,02%"
"10 jun 2022","1.070,75","1.074,50","1.081,25","1.053,00","","-0,05%"
