,Unnamed: 0,key,bandera_id,lat,lng,sucursalnombre,id_,sucursaltipo,provincia,promo1_descripcion,promo1_precio,preciolista,promo2_descripcion,promo2_precio,actualizadohoy,direccion,banderadescripcion,localidad,comerciorazonsocial,comercioid,marca,nombre,presentacion,fecha,Cluster
298,298,sucursales,5,-34.484169,-58.595829,San Fernando,7790070507242,Hipermercado,AR-B,"Llevando este producto, pagás $135.99 hasta  el 24/08/2022. Hasta agotar Stock.",135.99,160.0,,,True,Cno Bancalari E/202 Y Uruguay ,Walmart SuperCenter,SAN FERNANDO,Wal Mart Argentina S.R.L.,11,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-24,Cluster 0
299,299,sucursales,5,-32.91451,-68.825287,Mendoza (24hs),7790070507242,Hipermercado,AR-M,"Llevando este producto, pagás $136.00 hasta  el 24/08/2022. Hasta agotar Stock.",135.99,166.0,,,True,Moldes 1023,Walmart SuperCenter,VILLANUEVA,Wal Mart Argentina S.R.L.,11,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-24,Cluster 0
300,300,sucursales,5,-32.850687,-68.858646,Las Heras,7790199000020,Hipermercado,AR-M,"Llevando este producto, pagás $145.00 hasta  el 24/08/2022. Hasta agotar Stock.",144.99,145.06,,,True,Boulogne Sur Mer Y Regalado Olguin ,Walmart SuperCenter,MENDOZA CIUDAD,Wal Mart Argentina S.R.L.,11,MORIXE,Harina de Trigo 0000 Morixe 1 Kg,1.0 kg,2022-08-24,Cluster 1
301,301,sucursales,5,-32.91451,-68.825287,Mendoza (24hs),7790199000020,Hipermercado,AR-M,"Llevando este producto, pagás $136.00 hasta  el 24/08/2022. Hasta agotar Stock.",135.99,145.06,,,True,Moldes 1023,Walmart SuperCenter,VILLANUEVA,Wal Mart Argentina S.R.L.,11,MORIXE,Harina de Trigo 0000 Morixe 1 Kg,1.0 kg,2022-08-24,Cluster 1
1061443,1061443,sucursales,1,-32.426197,-63.738309,1513 - HERNANDO,7792590000227,Autoservicio,AR-X,,,161.13,,,True,Bv Rivadavia 300,Supermercados DIA,CORDOBA,DIA Argentina S.A,15,CASERITA,Harina de Trigo 0000 Caserita 1 Kg,1.0 kg,2022-08-25,Cluster 0
1061959,1061959,sucursales,1,-35.0530892,-58.7606411,39 - CAÑUELAS,7790070507242,Autoservicio,AR-B,,,152.02,,,True,Cl Rivadavia 800,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1061965,1061965,sucursales,2,-32.868658,-68.852646,Mendoza Sexta,7790070507242,Supermercado,AR-M,,,161.0,,,True,Jorge A. Calle 631,Market,Mendoza,INC S.A.,10,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 0
1061970,1061970,sucursales,3,-34.85116,-58.07703,Av. Arana 231,7790199000020,Supermercado,AR-B,,,154.0,,,True,Av. Arana 231,Express,La Plata,INC S.A.,10,MORIXE,Harina de Trigo 0000 Morixe 1 Kg,1.0 kg,2022-08-25,Cluster 4
1061973,1061973,sucursales,1,-34.6650066,-58.3623175,AVELLANEDA ,7790199000020,Supermercado,AR-B,,,144.99,LLEVANDO ESTE ARTICULO 15% DE DTO CON TARJ. COMUNIDAD COTO CON TARJETAS  EN LINEA DE CAJAS*  CON COMUNIDAD COTO - DEL 23/08/2022 AL 25/08/2022 O HASTA AGOTAR STOCK DE 17700 UNI,123.24,True,Italia 62,COTO CICSA,Avellaneda,Coto Centro Integral de Comercialización S.A.,12,MORIXE,Harina de Trigo 0000 Morixe 1 Kg,1.0 kg,2022-08-25,Cluster 1
1061974,1061974,sucursales,1,-34.7437163,-58.2891868,QUILMES ,7790199000020,Supermercado,AR-B,,,144.99,LLEVANDO ESTE ARTICULO 15% DE DTO CON TARJ. COMUNIDAD COTO CON TARJETAS  EN LINEA DE CAJAS*  CON COMUNIDAD COTO - DEL 23/08/2022 AL 25/08/2022 O HASTA AGOTAR STOCK DE 17700 UNI,123.24,True,12 De Octubre 3054,COTO CICSA,Quilmes,Coto Centro Integral de Comercialización S.A.,12,MORIXE,Harina de Trigo 0000 Morixe 1 Kg,1.0 kg,2022-08-25,Cluster 1
