,Unnamed: 0,key,bandera_id,lat,lng,sucursalnombre,id_,sucursaltipo,provincia,promo1_descripcion,promo1_precio,preciolista,promo2_descripcion,promo2_precio,actualizadohoy,direccion,banderadescripcion,localidad,comerciorazonsocial,comercioid,marca,nombre,presentacion,fecha,Cluster
1050819,1050819,sucursales,2,-38.931846,-67.984138,Cipoletti,7790387013627,Hipermercado,AR-R,"Llevando 1 unidades, pagás $337.51 c/u, promoción válida hasta el 2022-09-08 o hasta agotar stock, o lo que ocurra primero.",337.51,337.51,,,True,Bolivia 1169,Changomas,CIPOLLETTI,Wal Mart Argentina S.R.L.,11,TARAGUI,Yerba Mate con Palo 4Flex Taragui 500 Gr,500.0 gr,2022-08-25,Cluster 1
1050829,1050829,sucursales,1,-35.487759,-62.975086,367 - AMERICA,7790387013627,Autoservicio,AR-B,0% de descuento. Precio Promocional Exclusivo DIA en Sucursales Indicadas Hasta Agotar Stock o Finalice Vigencia.,312.51,312.51,,,True,San Martin 156,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,TARAGUI,Yerba Mate con Palo 4Flex Taragui 500 Gr,500.0 gr,2022-08-25,Cluster 1
1056072,1056072,sucursales,1,-34.764896,-61.892818,353 - GRAL PINTO,7790070507389,Autoservicio,AR-B,,,402.0,,,True,Adolfo Alsina 540,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,CRUZ DE MALTA,Yerba Mate Hojas mas Grandes Cruz de Malta 500 Gr,500.0 gr,2022-08-24,Cluster 2
1056079,1056079,sucursales,3,-34.574828,-58.436126,Cabildo 34,7790070507389,Autoservicio,AR-C,,,422.0,,,True,Av. Cabildo 34,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,CRUZ DE MALTA,Yerba Mate Hojas mas Grandes Cruz de Malta 500 Gr,500.0 gr,2022-08-24,Cluster 2
1056083,1056083,sucursales,1,-36.788827761866905,-59.871529162628576,Azul II,7790387015607,Supermercado,AR-B,,,575.0,,,True,Av. 25 De Mayo 1272,Cooperativa Obrera Limitada de Consumo y Vivienda,Azul,Cooperativa Obrera Limitada de Consumo y Vivienda,13,LA MERCED,Yerba Mate Campo Origen Controlado La Merced 500 Gr,500.0 gr,2022-08-24,Cluster 0
1056084,1056084,sucursales,1,-40.8148,-63.0052,Viedma,7790387015607,Hipermercado,AR-R,,,599.0,,,True,Saavedra 1455,Cooperativa Obrera Limitada de Consumo y Vivienda,Viedma,Cooperativa Obrera Limitada de Consumo y Vivienda,13,LA MERCED,Yerba Mate Campo Origen Controlado La Merced 500 Gr,500.0 gr,2022-08-24,Cluster 0
1056093,1056093,sucursales,1,-34.6519788,-58.4267385,5133 - NUEVA POMPEYA,7790387015607,Autoservicio,AR-C,,,592.0,,,True,Corrales 1669,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,LA MERCED,Yerba Mate Campo Origen Controlado La Merced 500 Gr,500.0 gr,2022-08-24,Cluster 0
1056098,1056098,sucursales,1,-38.5611,-58.7305,NECOCHEA,7790387015607,Supermercado,AR-B,,,571.0,,,True,Av. 59 Esq. Calle 38 1660,Vea,NECOCHEA,Jumbo Retail Argentina S.A.,9,LA MERCED,Yerba Mate Campo Origen Controlado La Merced 500 Gr,500.0 gr,2022-08-24,Cluster 0
1056109,1056109,sucursales,1,-32.2190005,-58.1482778,1508 - COLON,7790387015324,Autoservicio,AR-E,,,374.0,,,True,Av Pte.Peron 378,Supermercados DIA,ENTRE RIOS,DIA Argentina S.A,15,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-24,Cluster 2
1062003,1062003,sucursales,1,-34.5520142,-58.4736585,317 - NÚÑEZ,7790387015607,Autoservicio,AR-C,,,592.0,,,True,Cl Crisologo Larralde 3012,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,LA MERCED,Yerba Mate Campo Origen Controlado La Merced 500 Gr,500.0 gr,2022-08-25,Cluster 0
1062018,1062018,sucursales,1,-32.2252713,-58.1454569,319 - COLON,7790387015607,Autoservicio,AR-E,,,592.0,,,True,Cl San Martin 680,Supermercados DIA,ENTRE RIOS,DIA Argentina S.A,15,LA MERCED,Yerba Mate Campo Origen Controlado La Merced 500 Gr,500.0 gr,2022-08-25,Cluster 0
1062066,1062066,sucursales,1,-34.651709,-58.41803,336 - NUEVA POMPEYA,7790387015607,Autoservicio,AR-C,,,592.0,,,True,Esquiu 1001,Supermercados DIA,CAPITAL FEDERAL,DIA Argentina S.A,15,LA MERCED,Yerba Mate Campo Origen Controlado La Merced 500 Gr,500.0 gr,2022-08-25,Cluster 0
1062084,1062084,sucursales,1,-35.050929,-58.7648874,342 - CAÑUELAS,7790387015607,Autoservicio,AR-B,,,592.0,,,True,Av Libertad 1256,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,LA MERCED,Yerba Mate Campo Origen Controlado La Merced 500 Gr,500.0 gr,2022-08-25,Cluster 0
1062112,1062112,sucursales,3,-34.408965,-58.771632,Ruta 26 - 162,7790070507389,Autoservicio,AR-B,,,422.0,,,True,Rp26 162,Express,Maquinista Savio,INC S.A.,10,CRUZ DE MALTA,Yerba Mate Hojas mas Grandes Cruz de Malta 500 Gr,500.0 gr,2022-08-25,Cluster 2
1062116,1062116,sucursales,1,-32.9416062,-60.6448748,ROSARIO,7790070507389,Hipermercado,AR-S,,,410.6,,,True,Urquiza 1644,COTO CICSA,Rosario,Coto Centro Integral de Comercialización S.A.,12,CRUZ DE MALTA,Yerba Mate Hojas mas Grandes Cruz de Malta 500 Gr,500.0 gr,2022-08-25,Cluster 2
1062118,1062118,sucursales,1,-38.7225,-62.289499999999975,B° Noroeste,7790070507389,Supermercado,AR-B,,,417.0,,,True,Avellaneda 826,Cooperativa Obrera Limitada de Consumo y Vivienda,Bahía Blanca,Cooperativa Obrera Limitada de Consumo y Vivienda,13,CRUZ DE MALTA,Yerba Mate Hojas mas Grandes Cruz de Malta 500 Gr,500.0 gr,2022-08-25,Cluster 2
1062129,1062129,sucursales,2,-34.603431,-58.592464,Palomar,7790070507389,Supermercado,AR-B,,,402.0,,,True,De Los Ceibos 233,Market,Ciudad Jardín del Palomar,INC S.A.,10,CRUZ DE MALTA,Yerba Mate Hojas mas Grandes Cruz de Malta 500 Gr,500.0 gr,2022-08-25,Cluster 2
1062145,1062145,sucursales,1,-34.6027526,-58.4114132,ABASTO ,7790387015324,Hipermercado,AR-C,,,393.29,,,True,Agüero 616,COTO CICSA,Abasto,Coto Centro Integral de Comercialización S.A.,12,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1062152,1062152,sucursales,2,-34.454772,-58.910154,Pilar Super,7790387015324,Supermercado,AR-B,,,373.0,,,True,Ramírez 43,Market,Pilar,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1075009,1075009,sucursales,1,-24.7880714,-65.4219001,8013 - SALTA,7793704000911,Autoservicio,AR-A,,,392.47,,,True,Brown 70,Supermercados DIA,SALTA,DIA Argentina S.A,15,PLAYADITO,Yerba Mate Suave con Palo Playadito 500 Gr,500.0 gr,2022-08-25,Cluster 2
1075013,1075013,sucursales,1,-31.25349,-61.49254,QUIJOTE CENTRO,7793704000911,Hipermercado,AR-S,,,386.97,,,True,Rivadavia 53,La Anonima,Rafaela,S.A. Importadora y Exportadora de la Patagonia,2,PLAYADITO,Yerba Mate Suave con Palo Playadito 500 Gr,500.0 gr,2022-08-25,Cluster 2
1075015,1075015,sucursales,2,-34.454772,-58.910154,Pilar Super,7793704000911,Supermercado,AR-B,,,366.8,,,True,Ramírez 43,Market,Pilar,INC S.A.,10,PLAYADITO,Yerba Mate Suave con Palo Playadito 500 Gr,500.0 gr,2022-08-25,Cluster 2
1075022,1075022,sucursales,1,-40.81017056502792,-63.00089469554223,Viedma II,7790387013627,Autoservicio,AR-R,,,337.5,,,True,Moreno 1036,Cooperativa Obrera Limitada de Consumo y Vivienda,Viedma,Cooperativa Obrera Limitada de Consumo y Vivienda,13,TARAGUI,Yerba Mate con Palo 4Flex Taragui 500 Gr,500.0 gr,2022-08-25,Cluster 1
1075025,1075025,sucursales,2,-34.553168,-58.46577,Núñez,7790387013627,Supermercado,AR-C,,,312.51,,,True,Av. Cabildo 3190,Market,Ciudad Autónoma de Buenos Aires,INC S.A.,10,TARAGUI,Yerba Mate con Palo 4Flex Taragui 500 Gr,500.0 gr,2022-08-25,Cluster 1
1075027,1075027,sucursales,2,-34.799052,-58.395114,Adrogué,7790387013627,Supermercado,AR-B,,,312.51,,,True,Seguí 849,Market,Adrogué,INC S.A.,10,TARAGUI,Yerba Mate con Palo 4Flex Taragui 500 Gr,500.0 gr,2022-08-25,Cluster 1
1075032,1075032,sucursales,2,-34.454772,-58.910154,Pilar Super,7790387013627,Supermercado,AR-B,,,312.51,,,True,Ramírez 43,Market,Pilar,INC S.A.,10,TARAGUI,Yerba Mate con Palo 4Flex Taragui 500 Gr,500.0 gr,2022-08-25,Cluster 1
1075036,1075036,sucursales,1,-31.4116,-64.1893,Colon II.,7790387013627,Supermercado,AR-X,,,329.7,,,True,Avenida Colon 461,Vea,CORDOBA,Jumbo Retail Argentina S.A.,9,TARAGUI,Yerba Mate con Palo 4Flex Taragui 500 Gr,500.0 gr,2022-08-25,Cluster 1
1075369,1075369,sucursales,3,-34.653948,-58.51897,Carhué 1427,7790070507389,Autoservicio,AR-C,,,422.0,,,True,Carhué 1427,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,CRUZ DE MALTA,Yerba Mate Hojas mas Grandes Cruz de Malta 500 Gr,500.0 gr,2022-08-24,Cluster 2
